"",STATE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL
Alabama,,"200,885,422","185,781,187","204,027,376","205,002,420","220,881,405","207,748,831","223,408,552","221,595,075","224,135,336","211,066,513","204,478,392","218,680,022","2,527,690,531"
Alaska,,"22,328,362","21,937,520","22,603,496","20,406,719","29,064,505","28,698,689","29,206,049","33,089,940","25,014,394","25,839,309","21,745,077","16,530,457","296,464,517"
Arizona,,"221,420,065","204,240,027","227,310,352","219,538,355","227,310,010","216,943,072","223,914,918","228,445,231","209,186,059","168,715,921","236,389,799","261,416,683","2,644,830,492"
Arkansas,,"116,245,755","103,886,848","117,714,360","122,645,240","129,723,598","124,936,416","132,898,394","130,046,060","122,589,980","10,933,140","237,653,122","125,863,480","1,475,136,393"
California,,"1,262,606,251","1,181,079,757","1,292,238,567","1,272,053,275","1,355,715,510","1,311,621,623","1,375,844,930","1,376,055,572","1,303,470,691","1,353,579,289","1,279,804,495","1,324,193,657","15,688,263,617"
Colorado,,"168,128,374","157,227,176","161,723,168","168,582,533","183,981,172","182,403,496","186,137,448","175,122,878","167,244,135","181,963,523","169,610,056","179,191,263","2,081,315,222"
Connecticut,,"143,528,491","125,700,629","134,474,556","136,743,539","143,743,216","141,838,452","137,917,965","148,419,775","133,149,367","151,339,889","158,052,556","184,969,117","1,739,877,552"
Delaware,,"31,535,902","28,760,844","33,483,646","32,713,400","39,920,909","36,870,252","38,320,879","38,276,963","38,809,745","36,574,329","35,775,603","34,794,353","425,836,825"
District of Columbia,,"11,918,245","12,778,818","14,719,839","13,053,889","15,072,574","12,537,781","13,984,881","13,462,940","12,380,965","13,167,758","13,010,264","11,735,385","157,823,339"
Florida,,"669,338,970","678,686,177","638,415,807","726,527,955","689,920,068","704,016,969","662,479,393","692,561,130","693,561,220","655,275,301","697,679,486","673,010,019","8,181,472,495"
Georgia,,"403,938,227","378,139,196","425,723,416","417,070,562","430,109,759","426,631,860","436,112,913","441,800,102","420,921,411","432,580,786","433,759,396","395,860,930","5,042,648,558"
Hawaii,,"37,342,458","28,208,585","45,749,469","32,168,723","39,284,818","41,588,439","41,042,004","43,403,325","38,032,357","33,669,987","35,916,795","37,715,568","454,122,528"
Idaho,,"49,335,850","48,552,859","49,429,304","43,044,561","41,426,931","53,453,109","53,956,578","57,779,456","64,227,055","60,693,844","52,970,866","54,488,427","629,358,840"
Illinois,,"418,081,071","390,876,830","407,446,066","426,518,648","456,908,346","444,002,187","452,573,560","454,469,389","426,405,493","442,830,759","435,246,580","442,692,381","5,198,051,310"
Indiana,,"258,873,102","231,556,206","263,834,934","268,621,436","286,801,827","278,862,724","293,724,518","294,890,048","273,601,636","284,398,957","263,932,470","277,706,522","3,276,804,380"
Iowa,,"129,230,399","116,095,825","126,302,181","131,597,266","144,122,766","140,974,445","148,874,335","147,330,164","135,551,682","143,042,468","130,642,150","139,954,434","1,633,718,115"
Kansas,,"113,888,070","100,925,047","116,718,152","112,194,773","122,382,652","121,856,427","127,319,474","119,027,540","111,102,051","118,569,614","109,627,385","123,965,649","1,397,576,834"
Kentucky,,"174,542,847","158,702,727","183,623,207","190,678,205","196,924,419","191,099,338","202,246,989","200,510,846","187,505,419","194,682,722","173,263,953","193,641,892","2,247,422,564"
Louisiana,,"170,690,551","215,979,682","197,949,003","198,048,324","248,486,709","198,440,121","206,480,544","215,888,267","211,321,830","200,866,570","194,917,763","216,678,356","2,475,747,720"
Maine,,"82,879,251","62,031,825","55,188,472","53,199,597","60,734,023","64,133,793","88,472,593","75,137,966","61,171,101","62,547,341","55,357,363","60,535,447","781,388,772"
Maryland,,"202,881,880","176,065,791","216,539,030","218,906,261","232,893,143","225,617,218","231,056,231","243,879,150","219,393,075","233,008,600","215,276,643","226,540,255","2,642,057,277"
Massachusetts,,"231,292,395","208,151,046","221,138,704","244,316,192","246,597,087","243,634,228","252,672,751","256,944,453","235,427,319","242,934,198","239,047,380","234,030,867","2,856,186,620"
Michigan,,"413,644,526","369,252,134","408,813,767","350,400,728","459,374,066","470,539,685","386,690,598","489,784,457","425,285,762","432,895,022","409,326,243","459,197,927","5,075,204,915"
Minnesota,,"220,207,401","199,578,862","211,486,498","214,794,005","241,722,682","242,322,559","254,516,238","254,451,208","233,957,649","237,200,875","217,350,102","229,815,073","2,757,403,152"
Mississippi,,"130,013,235","113,452,849","144,675,073","114,495,598","174,081,374","135,472,124","140,165,805","133,524,849","146,363,071","146,168,192","119,533,621","152,594,939","1,650,540,730"
Missouri,,"294,132,139","229,572,600","260,866,337","263,875,055","283,044,297","276,559,517","292,966,615","287,799,559","268,662,130","280,287,260","263,933,436","272,381,139","3,274,080,084"
Montana,,"36,368,931","33,333,941","35,144,088","37,638,260","44,820,934","47,473,429","54,989,750","52,374,903","42,823,803","47,278,670","38,610,258","38,754,255","509,611,222"
Nebraska,,"69,434,006","61,295,147","69,106,601","69,318,562","78,598,869","78,455,522","82,428,614","80,466,145","75,359,147","75,037,035","69,733,638","75,317,954","884,551,240"
Nevada,,"83,004,838","77,892,424","85,742,393","84,356,512","91,584,745","90,805,879","96,188,826","95,701,846","90,277,761","92,529,944","85,063,579","89,408,836","1,062,557,583"
New Hampshire,,"62,511,024","53,614,132","57,446,941","54,887,564","60,280,454","60,978,933","68,222,031","68,327,435","58,869,368","62,721,812","56,338,997","61,335,201","725,533,892"
New Jersey,,"332,181,571","298,657,581","380,656,695","343,723,543","356,281,190","368,666,019","364,199,514","394,576,238","356,297,962","286,555,171","342,266,505","374,250,486","4,198,312,475"
New Mexico,,"61,984,109","93,910,691","80,995,675","81,775,143","70,936,489","95,029,353","88,522,740","38,784,508","107,398,979","39,215,679","137,507,228","74,874,860","970,935,454"
New York,,"494,706,226","400,380,329","464,433,235","467,898,920","512,946,644","479,751,866","560,027,929","507,483,676","474,953,507","500,441,247","504,578,928","513,185,264","5,880,787,771"
North Carolina,,"350,646,559","309,802,532","352,648,884","352,763,967","382,431,088","368,673,191","392,731,628","396,929,704","364,449,030","383,699,955","356,886,799","373,496,786","4,385,160,123"
North Dakota,,"27,262,004","27,045,579","26,845,811","28,765,304","32,217,012","32,208,256","36,752,073","36,048,530","30,689,154","31,914,233","32,317,322","31,229,492","373,294,770"
Ohio,,"419,783,041","376,965,417","429,682,208","431,948,345","464,289,462","453,298,965","471,830,182","477,949,555","443,040,753","460,322,113","426,747,863","446,328,591","5,302,186,495"
Oklahoma,,"142,846,395","134,664,391","158,827,319","161,951,418","158,975,995","130,567,197","187,939,385","161,514,244","150,160,864","159,385,464","147,615,670","157,493,420","1,851,941,762"
Oregon,,"118,874,503","120,370,706","121,069,278","121,049,314","140,009,612","139,065,264","140,254,538","149,340,759","129,947,119","108,812,025","150,871,982","122,777,631","1,562,442,731"
Pennsylvania,,"413,168,517","367,850,913","416,186,888","429,643,142","458,023,812","440,616,030","469,428,916","474,332,594","430,870,684","459,499,638","433,136,920","439,879,175","5,232,637,229"
Rhode Island,,"34,574,946","30,378,744","33,989,365","33,899,119","35,998,158","34,948,079","38,031,148","37,065,239","34,077,319","35,623,229","33,662,965","32,831,547","415,079,858"
South Carolina,,"184,286,830","174,967,999","196,203,860","200,423,469","208,001,016","202,176,521","212,270,021","212,259,683","196,166,713","205,174,395","191,297,742","206,076,937","2,389,305,186"
South Dakota,,"34,176,231","30,282,336","32,639,118","34,276,791","40,937,840","41,428,938","32,777,545","45,592,008","38,387,122","39,512,639","34,537,248","36,143,638","440,691,454"
Tennessee,,"258,671,073","196,703,337","220,735,842","276,332,007","284,082,691","271,196,639","269,839,382","272,422,683","270,164,628","244,364,305","273,058,689","258,766,436","3,096,337,712"
Texas,,"923,631,394","840,241,321","965,094,864","950,296,699","1,015,048,374","968,079,830","997,891,242","1,011,445,406","943,471,870","982,457,752","939,496,882","980,116,729","11,517,272,363"
Utah,,"74,238,159","77,171,637","87,888,674","82,756,923","88,883,034","88,518,946","95,408,222","96,120,257","84,308,277","98,717,665","80,782,268","91,424,243","1,046,218,305"
Vermont,,"30,749,294","26,798,621","27,752,619","25,140,555","29,766,187","29,701,536","32,987,377","33,299,569","29,609,607","32,146,179","26,323,644","29,262,494","353,537,682"
Virginia,,"304,039,460","268,876,397","318,070,163","433,020,627","235,212,797","383,753,051","359,349,309","329,965,996","327,279,047","350,299,951","325,146,606","337,293,185","3,972,306,589"
Washington,,"218,848,024","206,267,297","219,783,380","220,599,007","242,505,168","243,532,908","247,122,689","250,605,096","228,215,134","237,009,066","219,647,253","226,017,398","2,760,152,420"
West Virginia,,"46,296,468","68,753,149","71,311,329","61,727,129","57,683,136","91,316,989","84,995,932","73,115,741","72,815,633","39,382,622","97,893,109","71,452,596","836,743,833"
Wisconsin,,"206,064,030","180,633,829","202,897,258","198,715,461","225,232,370","228,533,230","250,742,514","243,915,878","201,966,935","231,594,575","207,438,094","218,547,091","2,596,281,265"
Wyoming,,"23,987,703","21,156,797","31,539,187","20,451,402","21,132,839","30,785,099","27,471,025","28,633,137","41,758,433","40,465,765","33,934,300","31,110,444","352,426,131"
U.S. Total,,"11,131,244,575","10,205,236,294","11,268,886,455","11,400,556,442","12,036,107,782","11,922,365,025","12,295,387,687","12,341,967,173","11,611,829,782","11,598,993,296","11,649,195,485","11,865,558,931","139,327,328,927"
Puerto Rico,,"91,070,552","84,756,152","115,928,755","87,527,954","98,704,357","80,139,143","100,919,340","106,183,155","92,659,220","105,694,270","106,930,208","107,011,425","1,177,524,531"
Grand Total,,"11,222,315,127","10,289,992,446","11,384,815,210","11,488,084,396","12,134,812,139","12,002,504,168","12,396,307,027","12,448,150,328","11,704,489,002","11,704,687,566","11,756,125,693","11,972,570,356","140,504,853,458"
