date,oregon_avg_price
2019-10-01,3.317707118163283
2019-11-01,3.211466539196941
2019-12-01,3.097020767178966
2020-01-01,3.004910376608931
2020-02-01,2.982364707475623
2020-03-01,2.8813566228126195
2020-04-01,2.5236084507042253
2020-05-01,2.408703083728479
2020-06-01,2.5440318554154207
2020-07-01,2.64073367933967
2020-08-01,2.657147074577019
2020-09-01,2.647484463552863
2020-10-01,2.595576483482073
2020-11-01,2.5831270208615726
2020-12-01,2.587316294332955
2021-01-01,2.6561391050895233
2021-02-01,2.8020609176108544
2021-03-01,3.101634543966765
2021-04-01,3.21980668349254
2021-05-01,3.3738275744416875
2021-06-01,3.4882666920296748
2021-07-01,3.6835546700864095
2021-08-01,3.7747147214935026
2021-09-01,3.7599770876727896
2021-10-01,3.764474602833175
2021-11-01,3.782648614126964
2021-12-01,3.776899935362738
2022-01-01,3.8991871615911866
2022-02-01,3.9655160893205212
2022-03-01,4.633021689323354
2022-04-01,4.666431495756947
2022-05-01,4.995957909925398
2022-06-01,5.490042973504353
2022-07-01,5.300285722935335
2022-08-01,4.877928182807399
2022-09-01,4.819742547934065
2022-10-01,5.287632008030907
2022-11-01,4.702497267759563
2022-12-01,3.940633854022245
2023-01-01,3.719733026610296
2023-02-01,3.8198016762631597
2023-03-01,3.8946075227377834
2023-04-01,4.0294922801521595
2023-05-01,4.162234425927065
2023-06-01,4.486960177267337
2023-07-01,4.607852035387468
2023-08-01,4.693495029097964
2023-09-01,4.7108467458591265
2023-10-01,4.527218450454851
2023-11-01,4.1579218005741145
2023-12-01,3.876430904142728
2024-01-01,3.675037980146741
2024-02-01,3.634815584330865
2024-03-01,4.046788326942973
2024-04-01,4.413453015645898
2024-05-01,4.385864704293816
2024-06-01,4.118859581240053
2024-07-01,3.98485416853362
2024-08-01,3.848567439799084
2024-09-01,3.7282449017657298
2024-10-01,3.6574605203790043
2024-11-01,3.566432791082524
2024-12-01,3.475338985107222
2025-01-01,3.5030610378241316
2025-02-01,3.708930241962661
2025-03-01,3.73842900670323
2025-04-01,3.951857231513948
2025-05-01,3.895608759933469
